id,loc_name,agg,type,Key Statistics: Total Households,Main source of household drinking water: metered SIWA drinking water,Main source of household drinking water: communal standpipe,Main source of household drinking water: private water tank,Main source of household drinking water: communal water tank,Main source of household drinking water: well - protected,Main source of household drinking water: well - unprotected,Main source of household drinking water: river or stream,Main source of household drinking water: bottled water,Main source of household drinking water: other source of drinking water,Main source of household washing water: piped - private,Main source of household washing water: piped - shared,Main source of household washing water: communal standpipe,Main source of household washing water: well - protected,Main source of household washing water: well - unprotected,Main source of household washing water: private water tank,Main source of household washing water: communal water tank,Main source of household washing water: sea water,"Main source of household washing water: river, lake or stream water",Main source of household washing water: other source of washing water,Main type of household toilet facility: flush toilets - private,Main type of household toilet facility: flush toilets - shared,Main type of household toilet facility: water sealed toilets - private,Main type of household toilet facility: water sealed toilets - shared,Main type of household toilet facility: pit latrines - private,Main type of household toilet facility: pit latrines - shared,Main type of household toilet facility: other toilets,Main type of household toilet facility: no toilets,Main source of household lighting: Main Grid,Main source of household lighting: Own Generator,Main source of household lighting: solar,Main source of household lighting: gas,Main source of household lighting: kerosene lamp,Main source of household lighting: coleman lamp,Main source of household lighting: Wood or Coconut,Main source of household lighting: other lighting,Main source of household lighting: no lighting,Main source of household cooking energy: Electricity from Main Grid,Main source of household cooking energy: Kerosene,Main source of household cooking energy: Wood or Coconut,Main source of household cooking energy: Charcoal,Main source of household cooking energy: Gas,Main source of household cooking energy: other cooking fuels,Households involvement in growing food: subsistence only,Households involvement in growing food: sale only,Households involvement in growing food: subsistence and sale,Households involvement in growing food: not growing food,Households involvement in growing food: No response,Households involvement in fishing: subsistence only,Households involvement in fishing: sale only,Households involvement in fishing: subsistence and sale,Households involvement in fishing: Households not fishing,Household money received from remittances: None,Household money received from remittances: unknown or not applicable,Household money received from remittances: 1 - 499 S.I. dollars,Household money received from remittances: 500 - 999 S.I. dollars,Household money received from remittances: 1000 - 1499 S.I. dollars,Household money received from remittances: more than 1500 S.I. dollars,Main source of household income in last 12 months: No income,Main source of household income in last 12 months: Wages Salary,Main source of household income in last 12 months: Own business,Main source of household income in last 12 months: Sale fish crop craft,Main source of household income in last 12 months: Land lease,Main source of household income in last 12 months: House rent,Main source of household income in last 12 months: Remittances,Main source of household income in last 12 months: Other source
640,Central Guadalcanal,Constituency,Proportion,1,0.0575,0.097,0.0962,0.0669,0.0376,0.0917,0.4624,0.0259,0.0647,0.0444,0.0395,0.0342,0.0756,0.1105,0.0124,0.006,0,0.6568,0.0207,0.0771,0.009,0.0838,0.0451,0.2865,0.0662,0.1861,0.2462,0.0801,0.0376,0.0383,0.0015,0.8233,0.0026,0.0004,0.0128,0.0034,0.0034,0.0053,0.9241,0.0034,0.0624,0.0015,0.5203,0.0102,0.3421,0.0846,0.0429,0.4996,0.0008,0.0218,0.4778,0.7274,0.0338,0.1782,0.0278,0.0211,0.0117,0.0147,0.3,0.0632,0.2402,0.0008,0.0105,0.0041,0.3665
716,North Malaita,Constituency,Proportion,1,0,0.6065,0.0067,0.0318,0.0295,0.0004,0.2095,0.0016,0.114,0.1108,0.1274,0.4233,0.0401,0.0051,0.0079,0.0169,0,0.2327,0.0358,0.0291,0.0008,0.0495,0.0071,0.3384,0.1557,0.305,0.1144,0.0181,0.0016,0.0546,0.0035,0.831,0.0012,0.0063,0.081,0.0028,0.0004,0.0004,0.9914,0.0004,0.0075,0,0.4438,0.0051,0.4355,0.0318,0.0837,0.1195,0.0063,0.2166,0.6576,0.7268,0.0417,0.1395,0.0519,0.0322,0.0079,0.079,0.1026,0.0507,0.2925,0.0004,0.0043,0.0377,0.4328
717,Lau-Mbaelela,Constituency,Proportion,1,0.0004,0.4361,0.0161,0.0472,0.0052,0.0007,0.432,0.0318,0.0303,0.0386,0.1487,0.1986,0.0109,0.042,0.0079,0.0116,0.0064,0.4994,0.036,0.0105,0.0011,0.0165,0.0067,0.1461,0.4193,0.2668,0.133,0.0026,0.0015,0.1424,0.0015,0.6954,0.0026,0.0045,0.1435,0.006,0.0011,0.0034,0.991,0.0007,0.003,0.0007,0.3383,0.0052,0.5613,0.0255,0.0697,0.1188,0.0019,0.3376,0.5418,0.6635,0.0397,0.1847,0.0543,0.0375,0.0202,0.045,0.0701,0.0333,0.5845,0,0.003,0.0311,0.233
718,Baegu-Asifola,Constituency,Proportion,1,0,0.26,0.01,0.0161,0,0,0.6355,0.001,0.0773,0.007,0.0582,0.1767,0.0181,0.001,0.005,0.002,0.003,0.6637,0.0653,0.007,0,0.003,0.005,0.0341,0.5432,0.249,0.1586,0,0.001,0.1155,0.007,0.8434,0.001,0.004,0.0251,0.003,0.003,0,0.994,0,0.003,0,0.238,0.001,0.6516,0.0914,0.0181,0.1747,0.002,0.4347,0.3886,0.9076,0.004,0.0351,0.0291,0.012,0.012,0.0884,0.0452,0.0251,0.5653,0,0.005,0.006,0.2651
719,Fataleka,Constituency,Proportion,1,0.0007,0.3124,0.0157,0.0919,0.0112,0.0015,0.5291,0,0.0374,0.0374,0.1024,0.2078,0.006,0.0351,0.0007,0.0112,0,0.5904,0.009,0.0015,0.0007,0.0015,0.0082,0.1704,0.3849,0.3797,0.0531,0.0007,0.0022,0.1046,0,0.8543,0,0.0015,0.0336,0.003,0.0007,0,0.9948,0.0007,0.003,0.0007,0.3341,0.0052,0.5845,0.0179,0.0583,0.225,0.0015,0.4088,0.3647,0.7549,0.0262,0.145,0.0441,0.0202,0.0097,0.0344,0.071,0.0329,0.5777,0,0.0015,0.0022,0.2803
720,West Kwara'ae,Constituency,Proportion,1,0,0.5536,0.0147,0.0561,0.0023,0.0062,0.2993,0,0.0678,0.0519,0.1506,0.3585,0.0101,0.0074,0.0058,0.0074,0.0004,0.379,0.029,0.0163,0.0027,0.0941,0.0066,0.146,0.5172,0.2025,0.0147,0.0039,0.0012,0.0217,0.0008,0.9617,0,0.0012,0.0081,0.0015,0.0008,0.0019,0.9946,0.0004,0.0019,0.0004,0.2288,0.0054,0.688,0.0221,0.0557,0.0801,0.0004,0.2497,0.6698,0.7503,0.0507,0.1491,0.0317,0.0136,0.0046,0.0325,0.1034,0.0221,0.4611,0,0.0031,0.0151,0.3628
721,Central Kwara'ae,Constituency,Proportion,1,0.0184,0.4576,0.0747,0.1161,0.0604,0.0111,0.1949,0.0149,0.0519,0.1291,0.175,0.2316,0.1123,0.0551,0.0244,0.0089,0.0009,0.2541,0.0085,0.0671,0.0085,0.1199,0.0278,0.2617,0.2582,0.1516,0.1051,0.0487,0.0041,0.0424,0.0013,0.8829,0.0028,0.0013,0.0146,0.0019,0,0.0009,0.9861,0.0006,0.0114,0.0009,0.4481,0.0019,0.4652,0.0392,0.0456,0.1532,0.0009,0.0937,0.7522,0.694,0.0449,0.1316,0.0728,0.0301,0.0266,0.0152,0.1867,0.0475,0.2902,0.0032,0.0155,0.0367,0.4051
722,East Malaita,Constituency,Proportion,1,0,0.3623,0.0991,0.1224,0.0134,0,0.402,0,0.0007,0.0212,0.046,0.2718,0.0878,0.0042,0.0304,0.017,0,0.5159,0.0057,0.0184,0.005,0.0191,0,0.3376,0.4253,0.1776,0.017,0,0.0014,0.1076,0.0007,0.845,0,0,0.0446,0.0007,0,0,0.9972,0,0.0028,0,0.3298,0.0092,0.5994,0.0326,0.029,0.1996,0.0106,0.126,0.6638,0.7162,0.0085,0.1826,0.0517,0.0326,0.0085,0.0368,0.0842,0.051,0.5874,0.0007,0.0021,0.0057,0.2321
723,Auki-Langalanga,Constituency,Proportion,1,0.2586,0.2076,0.1409,0.173,0.0016,0,0.0997,0.0058,0.1129,0.2858,0.0708,0.1285,0.084,0.0692,0.0626,0.0264,0.0535,0.1606,0.0585,0.2727,0.0115,0.1186,0.0198,0.0783,0.047,0.2035,0.2488,0.271,0.0099,0.0297,0.0016,0.6763,0.0008,0,0.0082,0.0025,0.0099,0.0272,0.8468,0.0033,0.1096,0.0033,0.5362,0.0033,0.0651,0.3591,0.0362,0.1656,0.0041,0.1705,0.6598,0.6507,0.0255,0.1746,0.0733,0.0428,0.0329,0.0643,0.4292,0.1096,0.1417,0,0.0198,0.0264,0.2092
724,East Kwaio,Constituency,Proportion,1,0,0.4409,0.0221,0.0204,0.0128,0.014,0.4898,0,0,0.0291,0.0542,0.3425,0.0134,0.0559,0.0076,0.0186,0,0.477,0.0017,0.021,0,0.0023,0,0.1462,0.509,0.2306,0.0909,0.0146,0.0017,0.219,0.0029,0.6657,0,0.0414,0.0507,0.0041,0.0035,0,0.9936,0.0006,0.0017,0.0006,0.4916,0.0017,0.4397,0.0256,0.0414,0.1864,0.0023,0.2697,0.5416,0.749,0.032,0.1171,0.0559,0.0215,0.0245,0.1963,0.0687,0.1188,0.332,0,0.0035,0.032,0.2487
725,West Kwaio,Constituency,Proportion,1,0,0.2933,0.1774,0.1606,0.0446,0.0046,0.3142,0.0012,0.0041,0.022,0.1362,0.1809,0.142,0.0788,0.0133,0.0023,0,0.422,0.0023,0.0174,0.0168,0.0168,0.0157,0.0649,0.2151,0.2557,0.3977,0.0191,0.007,0.0823,0.0041,0.8,0.0012,0.0632,0.0203,0.0029,0,0.0052,0.9843,0,0.0087,0.0017,0.3983,0.0046,0.5142,0.0238,0.0591,0.2829,0.007,0.2945,0.4157,0.8278,0.0539,0.0771,0.0232,0.0075,0.0104,0.0533,0.1351,0.0307,0.5513,0.0006,0.011,0.0093,0.2087
726,East AreAre,Constituency,Proportion,1,0.0009,0.7376,0.0109,0.0081,0.0009,0.0027,0.2018,0,0.0371,0.0471,0.1041,0.5991,0.0018,0.0054,0.0045,0.0009,0.0018,0.2136,0.0217,0.0235,0.0027,0.0525,0.0217,0.0045,0.0127,0.7167,0.1656,0.1747,0.0027,0.1122,0.0018,0.6977,0.0009,0.0036,0.0054,0.0009,0.0018,0.0027,0.9928,0,0.0009,0.0018,0.3339,0.0027,0.5846,0.029,0.0498,0.2362,0.0045,0.5502,0.209,0.7828,0.0335,0.0715,0.0615,0.0371,0.0136,0.0335,0.0805,0.0914,0.5882,0,0.0018,0.0281,0.1765
727,West Areare,Constituency,Proportion,1,0.0034,0.6948,0.0211,0.0017,0.0059,0.0025,0.2209,0.0059,0.0438,0.0084,0.0675,0.6332,0.0481,0.0051,0.0042,0.0017,0.0093,0.2133,0.0093,0.0135,0.0093,0.0118,0.032,0.0051,0.016,0.3853,0.527,0.0051,0.0093,0.161,0.0017,0.8019,0,0.0017,0.0118,0.0076,0.0017,0.0084,0.9831,0,0.0042,0.0025,0.371,0.0228,0.5287,0.0304,0.0472,0.3592,0.0211,0.403,0.2167,0.8052,0.0388,0.0902,0.0354,0.0169,0.0135,0.0228,0.1366,0.0784,0.4739,0.0008,0.0042,0.0042,0.2791
728,Small Malaita,Constituency,Proportion,1,0.0008,0.4871,0.0275,0.0072,0.0008,0,0.4715,0,0.0051,0.0515,0.0693,0.3815,0.0004,0.0004,0.011,0.003,0.0013,0.4808,0.0008,0.0355,0.0021,0.0625,0.0072,0.0524,0.0135,0.1276,0.6992,0.0097,0.0013,0.2548,0.0008,0.7258,0.0008,0,0.0046,0.0021,0.0008,0.0017,0.9899,0,0.0051,0.0025,0.3342,0.003,0.5885,0.0275,0.0469,0.3181,0.0046,0.482,0.1952,0.7157,0.0186,0.1783,0.0511,0.0224,0.0139,0.0803,0.1031,0.0511,0.6257,0.0004,0.0051,0.0393,0.0951
729,Malaita Outer Island,Constituency,Proportion,1,0.005,0.0025,0.3144,0.6634,0,0,0,0,0.0149,0,0,0.0025,0.3985,0.5644,0.0124,0.005,0,0,0.0173,0.0025,0,0.0025,0,0,0,0.5297,0.4653,0,0,0.9431,0.0025,0.0149,0,0.0025,0.0272,0.0099,0,0,0.9802,0,0.0149,0.005,0.7079,0.0025,0.0891,0.198,0.0025,0.8762,0.0173,0.0248,0.0817,0.9505,0.0149,0.0025,0.0223,0.0025,0.0074,0.0099,0.0272,0.047,0.2748,0,0,0.0025,0.6386
844,West Makira,Constituency,Proportion,1,0.0019,0.4875,0.0264,0.0329,0.0032,0.0028,0.4333,0.0009,0.0111,0.0046,0.089,0.4008,0.0083,0.0046,0.0042,0.0028,0.0009,0.475,0.0097,0.0051,0.0014,0.0111,0.0014,0.0111,0.0051,0.4601,0.5046,0.025,0.0153,0.0612,0.0009,0.7692,0.0051,0.0023,0.0941,0.0269,0.0093,0.0019,0.9796,0.0009,0.006,0.0023,0.4745,0.006,0.4022,0.05,0.0672,0.4963,0.0056,0.2729,0.2252,0.7067,0.038,0.1552,0.0454,0.0334,0.0213,0.0366,0.1613,0.0704,0.5107,0.0009,0.0046,0.0107,0.2048
845,Central Makira,Constituency,Proportion,1,0.0065,0.5359,0.0559,0.083,0.0035,0,0.278,0.0006,0.0365,0.1396,0.1449,0.374,0.0053,0.0065,0.0018,0.0006,0,0.2962,0.0312,0.1148,0.0171,0.0365,0.0648,0.0406,0.0112,0.3398,0.3751,0.1231,0.0035,0.0648,0.0012,0.7627,0.0012,0.0035,0.0365,0.0035,0.0053,0.0006,0.9717,0,0.0171,0.0053,0.4664,0.0059,0.4423,0.0324,0.053,0.5135,0.0047,0.1832,0.2986,0.8416,0.0147,0.063,0.0389,0.0188,0.023,0.0365,0.2462,0.0554,0.4205,0.0047,0.0065,0.0094,0.2208
846,East Makira,Constituency,Proportion,1,0.0058,0.3584,0.0335,0.1602,0.0091,0.0054,0.3998,0.0054,0.0224,0.0174,0.0662,0.2454,0.0062,0.1035,0.0041,0.0021,0,0.5228,0.0323,0.0079,0.0037,0.0248,0.0799,0.0046,0.0021,0.3104,0.5666,0.0004,0.0033,0.0352,0.0017,0.8394,0.0219,0.019,0.0716,0.0075,0.0004,0.0012,0.9959,0,0.0012,0.0012,0.4127,0.005,0.4909,0.0393,0.0522,0.459,0.0029,0.3469,0.1912,0.7616,0.0766,0.089,0.0381,0.017,0.0178,0.043,0.0704,0.0662,0.4665,0.0012,0.0025,0.0128,0.3373
847,Ulawa-Ugi,Constituency,Proportion,1,0.0022,0.8368,0.0078,0.0044,0.0022,0,0.0943,0,0.0522,0.2364,0.1776,0.4395,0.0011,0.0011,0.0011,0.0011,0,0.1343,0.0078,0.0144,0.0022,0.0855,0.0089,0.0555,0.0067,0.3929,0.434,0.0011,0.0011,0.1077,0,0.8346,0.0089,0.0055,0.0366,0.0044,0,0,0.9967,0,0.0022,0.0011,0.5794,0.0044,0.3563,0.0189,0.0411,0.5294,0.0022,0.2475,0.2209,0.8036,0.0388,0.0855,0.0444,0.01,0.0178,0.0777,0.0788,0.0588,0.3885,0.0011,0.0011,0.0222,0.3718
948,Temotu Pele,Constituency,Proportion,1,0.0009,0.0544,0.1691,0.4659,0.0164,0.1527,0,0,0.1406,0,0,0.0535,0.107,0.4081,0.1191,0.0466,0.189,0.0604,0.0164,0.0104,0,0.0207,0.0052,0.0052,0.0043,0.1415,0.8128,0,0.0026,0.044,0,0.8637,0.0147,0.0276,0.0457,0.0017,0,0,0.9974,0,0.0017,0.0009,0.2752,0.006,0.6557,0.0293,0.0336,0.3469,0.0052,0.4927,0.1553,0.849,0.0181,0.0742,0.038,0.0181,0.0026,0.044,0.0733,0.0371,0.5712,0.0009,0.0026,0.0414,0.2295
949,Temotu-Nende,Constituency,Proportion,1,0.0004,0.3866,0.1045,0.2161,0.0275,0.0319,0.0961,0.0044,0.1324,0.0164,0.0376,0.3291,0.0292,0.1647,0.0779,0.0678,0.0704,0.1594,0.0474,0.0376,0.0204,0.0279,0.0368,0.0146,0.0027,0.0912,0.7688,0.0514,0.0022,0.0407,0.0009,0.8729,0.0018,0.0093,0.0204,0.0004,0.0022,0.0022,0.9854,0,0.0102,0,0.1546,0.0035,0.7896,0.0239,0.0283,0.2896,0.0035,0.5301,0.1767,0.8428,0.0226,0.0757,0.0297,0.0159,0.0133,0.0142,0.2104,0.0381,0.6492,0.0004,0.0049,0.0137,0.0691
950,Temotu Vatu,Constituency,Proportion,1,0.0023,0.8115,0.0181,0.0169,0.0011,0.0011,0.1332,0,0.0158,0.0192,0.0508,0.7483,0.0011,0.0045,0.009,0.0023,0.0113,0.1456,0.0079,0.0023,0.0011,0.0023,0,0.0011,0,0.1242,0.8691,0,0,0.4391,0,0.5181,0.0011,0.0169,0.0226,0.0023,0.0011,0.0079,0.9898,0,0,0.0011,0.6117,0.0011,0.2923,0.0305,0.0643,0.6783,0.0023,0.2607,0.0587,0.8115,0.044,0.0835,0.035,0.0181,0.0079,0.0858,0.0587,0.0418,0.4255,0.009,0,0.0463,0.333
1001,Nggosi,Ward,Proportion,1,0.8224,0.0224,0.0881,0.0021,0.0007,0,0.035,0.0224,0.007,0.6273,0.3098,0.0119,0.0014,0.0014,0.0112,0.0014,0,0.0336,0.0021,0.5273,0.058,0.1098,0.0909,0.151,0.0406,0.0105,0.0119,0.5357,0.0042,0.0329,0.0007,0.4112,0.0056,0,0.0084,0.0014,0.0231,0.0322,0.5951,0.0056,0.3399,0.0042,0.421,0.0217,0.0343,0.4762,0.0469,0.1273,0.0063,0.0133,0.8531,0.7224,0.0706,0.0699,0.0301,0.0476,0.0594,0.0147,0.7175,0.1014,0.0685,0.0028,0.028,0.0098,0.0573
1002,Mbumburu,Ward,Proportion,1,0.7797,0.0175,0.1248,0,0.0253,0,0.0253,0.0234,0.0039,0.7583,0.1384,0.0078,0.039,0.0078,0.0156,0.0019,0,0.0253,0.0058,0.6959,0.0526,0.0487,0.0039,0.1228,0.0526,0.0117,0.0117,0.6842,0.0019,0.0195,0.0019,0.2749,0.0019,0.0019,0.0097,0.0039,0.0156,0.0214,0.4483,0.0078,0.5068,0,0.4366,0.0097,0.0234,0.4639,0.0663,0.0429,0.0039,0.0039,0.9493,0.8246,0.0526,0.0214,0.0292,0.0175,0.0546,0.0097,0.8012,0.0819,0.0156,0.0136,0.0175,0.0058,0.0546
1003,Rove - Lengakiki,Ward,Proportion,1,0.6886,0.006,0.1946,0.0808,0,0,0.003,0.021,0.006,0.8174,0.1557,0,0,0,0.018,0.003,0,0.006,0,0.8144,0.1617,0.006,0,0.009,0,0.009,0,0.9012,0,0.021,0,0.0689,0.003,0,0.003,0.003,0.1108,0.015,0.3413,0,0.5299,0.003,0.4222,0,0.015,0.5269,0.0359,0.1467,0.003,0.009,0.8413,0.7874,0.018,0.0479,0.0299,0.0329,0.0838,0.003,0.8503,0.0719,0.006,0.015,0.021,0,0.0329
1004,Cruz,Ward,Proportion,1,1,0,0,0,0,0,0,0,0,0.8824,0.1176,0,0,0,0,0,0,0,0,0.9412,0.0588,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1176,0,0.2941,0,0.5882,0,0.7059,0,0,0.2941,0,0.1176,0,0.0588,0.8235,1,0,0,0,0,0,0,0.7647,0.1765,0,0,0,0,0.0588
1005,Vavaea,Ward,Proportion,1,0.7962,0.0149,0.0541,0.0053,0,0,0.1008,0.0074,0.0212,0.6497,0.311,0.0159,0,0,0.0021,0.0021,0,0.0149,0.0042,0.5127,0.1178,0.2028,0.1242,0.0308,0.0085,0.0032,0,0.6486,0.0042,0.0127,0,0.3227,0.0042,0,0.0074,0,0.0244,0.035,0.5573,0.0085,0.327,0.0478,0.2399,0.0011,0.018,0.69,0.051,0.0425,0.0042,0.017,0.9363,0.88,0.0414,0.0096,0.0159,0.0191,0.034,0.0064,0.7898,0.0817,0.0191,0.0032,0.0276,0.0021,0.0701
1006,Vuhokesa,Ward,Proportion,1,0.9527,0,0.0405,0,0,0,0,0,0.0068,0.5878,0.3986,0,0,0,0,0,0,0.0135,0,0.473,0.0676,0.0541,0.0473,0.0338,0,0.3243,0,0.4797,0.0068,0.0473,0,0.4527,0.0068,0,0.0068,0,0,0.0203,0.6284,0.0203,0.3311,0,0.25,0,0.0608,0.6081,0.0811,0.1959,0,0.0473,0.7568,0.8108,0.0473,0.0203,0.0608,0.0338,0.027,0.0135,0.6757,0.0811,0.0878,0,0.0068,0.0068,0.1284
1007,Mataniko,Ward,Proportion,1,0.7528,0.0738,0.0517,0.0941,0.0018,0,0.0166,0,0.0092,0.6384,0.2804,0.0351,0.0018,0,0.0018,0.0055,0,0.0258,0.0111,0.5148,0.1089,0.072,0.0424,0.059,0.0461,0.0314,0.1255,0.6716,0.0018,0.0369,0.0055,0.2675,0.0037,0,0.0055,0.0074,0.0221,0.0203,0.7491,0.0055,0.179,0.024,0.321,0.0074,0.0092,0.6236,0.0387,0.0314,0.0037,0.0332,0.9317,0.9059,0.0461,0.0055,0.0092,0.0037,0.0295,0.0055,0.7583,0.1107,0.0332,0,0.0277,0.0018,0.0627
1008,Kola'A,Ward,Proportion,1,0.7565,0.032,0.1214,0.018,0.002,0,0.058,0.008,0.004,0.5851,0.2909,0.0247,0.0053,0.0007,0.02,0.002,0,0.0694,0.002,0.4656,0.1207,0.1828,0.0747,0.1227,0.026,0.004,0.0033,0.6144,0.004,0.0167,0.002,0.3489,0.004,0,0.0073,0.0027,0.0394,0.0367,0.507,0.0073,0.3943,0.0153,0.3382,0.0047,0.0454,0.5637,0.048,0.026,0.0067,0.008,0.9593,0.7919,0.1201,0.0187,0.0213,0.0147,0.0334,0.006,0.8052,0.0841,0.028,0.0107,0.0173,0.0087,0.04
1009,Kukum,Ward,Proportion,1,0.8755,0,0.103,0.0043,0,0,0,0.0086,0.0086,0.6953,0.0258,0,0,0,0.0258,0.0086,0,0.0043,0.2403,0.8197,0.1245,0.0215,0.0172,0.0086,0,0.0086,0,0.9142,0.0086,0.0043,0,0.0515,0.0043,0,0.0172,0,0.0515,0.0215,0.3948,0,0.5236,0.0086,0.2747,0,0.0215,0.6824,0.0215,0.0558,0.0086,0.0215,0.9142,0.8541,0.0601,0.0258,0.0129,0,0.0472,0.0086,0.8197,0.0601,0.0086,0.0129,0.0343,0.0043,0.0515
101,Waghina,Ward,Proportion,1,0,0,0.276,0.692,0.004,0,0,0,0.028,0,0,0,0.012,0.788,0.048,0,0,0.136,0.016,0.112,0.004,0.044,0,0.092,0.008,0,0.74,0,0.024,0.172,0,0.656,0.044,0,0.1,0.004,0,0.012,0.984,0.004,0,0,0.744,0,0.14,0.108,0.008,0.572,0.004,0.316,0.108,0.644,0.028,0.012,0.108,0.088,0.12,0.004,0.132,0.048,0.152,0,0.004,0.048,0.612
1010,Naha,Ward,Proportion,1,0.9815,0,0,0,0,0,0,0,0.0185,0.4444,0.537,0,0,0,0,0,0,0,0.0185,0.2037,0.4815,0,0,0.0185,0.0556,0.2407,0,0.8148,0,0,0,0.1667,0,0,0.0185,0,0,0.0185,0.8148,0,0.1667,0,0.037,0.0185,0,0.9259,0.0185,0.0185,0.0185,0.0185,0.9444,0.9815,0,0.0185,0,0,0,0,0.7963,0.0556,0.0741,0,0,0,0.0741
1011,Vura,Ward,Proportion,1,0.7768,0.0678,0.1057,0.0039,0.0063,0.0032,0.0276,0.0008,0.0079,0.7547,0.1546,0.015,0.0055,0.0024,0.0205,0.0008,0,0.0355,0.011,0.7232,0.067,0.0599,0.0355,0.0686,0.0418,0.0024,0.0016,0.7697,0.0039,0.0221,0.0016,0.1909,0.0063,0,0.0039,0.0016,0.041,0.0402,0.3707,0.0197,0.4953,0.0331,0.2626,0.0039,0.0552,0.6144,0.0639,0.0244,0.0063,0.041,0.9282,0.7674,0.1017,0.0189,0.0379,0.0252,0.0489,0.0087,0.8028,0.0718,0.0442,0.0032,0.0189,0.0047,0.0457
1012,Panatina,Ward,Proportion,1,0.6362,0.06,0.0905,0.0075,0.008,0.1154,0.0655,0.01,0.007,0.4323,0.2779,0.0565,0.007,0.1044,0.022,0.002,0,0.0965,0.0015,0.4063,0.0795,0.2084,0.0555,0.1834,0.047,0.0095,0.0105,0.5722,0.0025,0.0225,0.0015,0.3903,0.002,0.001,0.005,0.003,0.0465,0.02,0.5852,0.0345,0.2719,0.042,0.3223,0.0085,0.1799,0.3973,0.092,0.0325,0.0095,0.026,0.932,0.7956,0.0885,0.033,0.0255,0.018,0.0395,0.0075,0.7676,0.093,0.066,0.006,0.0115,0.0035,0.045
102,Katupika,Ward,Proportion,1,0,0.1955,0.0652,0.208,0,0,0.4586,0,0.0727,0.01,0.2581,0.1554,0.0426,0.0226,0.01,0.0627,0,0.3759,0.0627,0.0025,0.0827,0.0226,0.0025,0.0025,0.005,0.3559,0.5263,0.1429,0.0276,0.0877,0.0025,0.7368,0.0025,0,0,0,0.0025,0.0301,0.9424,0,0.0251,0,0.381,0.0025,0.5288,0.0852,0.0025,0.4561,0,0.4486,0.0952,0.4937,0.015,0.208,0.1454,0.0627,0.0752,0,0.2431,0.0376,0.3258,0,0,0.0827,0.3108
103,Vasiduki,Ward,Proportion,1,0.0032,0.484,0.1314,0.2019,0.0032,0,0.1699,0.0064,0,0,0.0032,0.5577,0.109,0,0.0321,0.0673,0.0032,0.2276,0,0.0096,0,0,0,0.0288,0.0032,0,0.9583,0,0,0.0865,0.0032,0.9038,0.0064,0,0,0,0,0,0.9968,0,0.0032,0,0.1218,0,0.8237,0.0288,0.0256,0.1282,0,0.8173,0.0545,0.5256,0.0032,0.2724,0.1603,0.0256,0.0128,0.0064,0.1571,0.0192,0.6603,0,0.0032,0.1474,0.0064
104,Viviru,Ward,Proportion,1,0,0.5917,0.1592,0.09,0.0104,0,0.1003,0,0.0484,0.0657,0.1419,0.5121,0.0069,0,0.0311,0.0035,0,0.2353,0.0035,0.0519,0,0.0311,0.0035,0.0311,0,0.0069,0.8754,0,0.0035,0.0277,0.0104,0.9343,0,0.0035,0.0104,0.0104,0,0,0.9792,0,0.0173,0.0035,0.3253,0,0.6471,0.0242,0.0035,0.4152,0,0.4221,0.1626,0.3737,0.0173,0.391,0.1038,0.0484,0.0657,0.0035,0.1073,0.0519,0.7336,0,0.0035,0.0554,0.045
105,Babatana,Ward,Proportion,1,0,0.4537,0.2809,0.1173,0,0,0.0957,0.0525,0,0.0833,0.1049,0.6019,0.0031,0,0.037,0.0031,0,0.1574,0.0093,0.0309,0.0062,0.3457,0.0093,0.0185,0.0031,0.3642,0.2222,0,0.0031,0.1173,0.0123,0.8611,0,0,0.0062,0,0.0031,0,0.9907,0,0.0062,0,0.2747,0.0031,0.5926,0.0463,0.0833,0.3302,0.0031,0.4012,0.2654,0.4105,0.0247,0.2438,0.1451,0.0679,0.108,0.0123,0.2068,0.0926,0.4753,0,0.0062,0.1173,0.0895
106,Tepakaza,Ward,Proportion,1,0.0031,0.2609,0.2422,0.1708,0.0031,0,0.3199,0,0,0.0062,0.0031,0.5031,0.0186,0,0.0093,0,0,0.4565,0.0031,0.0031,0.0031,0.0559,0.0528,0.0217,0,0,0.8634,0.0311,0.0124,0.0932,0.0031,0.854,0,0,0.0062,0,0,0.0093,0.9907,0,0,0,0.3447,0.0062,0.6056,0.0373,0.0062,0.4006,0,0.4534,0.146,0.5714,0.0031,0.3075,0.0652,0.0373,0.0155,0.0062,0.2174,0.0155,0.6894,0,0.0031,0.0217,0.0466
107,Batava,Ward,Proportion,1,0,0.0648,0.495,0.3204,0.0012,0,0.0773,0,0.0411,0.0249,0.0786,0.1372,0.1571,0.0686,0.2182,0.0112,0,0.2993,0.005,0.1234,0.0075,0.0349,0,0.0087,0.0012,0.0898,0.7344,0.0474,0.0224,0.0935,0.0062,0.8067,0.0012,0.0012,0.0212,0,0,0,0.9676,0.0025,0.0299,0,0.3042,0.0012,0.5885,0.0848,0.0212,0.3928,0,0.419,0.1883,0.7244,0.0324,0.1409,0.0424,0.0299,0.0299,0.02,0.2756,0.0524,0.5948,0.0012,0.0037,0.01,0.0424
